text_fi,text_sv
Muonitustavara,Provianteringsvara
ELY-keskuksen valitusoikeus,NTM-centralens besvärsrätt
Jälkiseikat,Senare omständigheter
Virkistystarpeiden huomioon ottaminen,Beaktande av rekreationsbehov
Maakunnan liitto,Förbund på landskapsnivå
Pahoinpitely,Misshandel
Rakennusoikeus,Byggrätt
Viivästyksen hyvittäminen,Kompensation av dröjsmål
Esitutkinta-aineisto,Förundersökningsmaterial
Palvelujen myynti tytäryhtiöille,Försäljning av tjänster till dotterbolag
Rikossyyte,Brottsåtal
Kunnan omistama elinkeinoyhtiö,Rörelseidkande bolag som ägs av kommunen
Rakennustöiden suorittaminen,Utförande av byggarbeten
Henkilökohtaisen tulon verotus,Beskattnings av personlig inkomst
Rantavyöhykkeen suunnittelutarve,Planeringsbehov som gäller strandzon
Diaarimerkintä,Diarieanteckning
Tontin osaomistajan suostumus luvan hakemiseen,Samtycke till ansökan om bygglov av delägare till tomten
Harkinnanvarainen poissulkemisperuste,Av prövning beroende grunder för uteslutning
Yhteisymmärrys,Samförstånd
Lastensuojelukustannusten korvaaminen,Ersättande av barnskyddskostnaderna
Sähköturvallisuus,Elsäkerhet
Käsittelylupa,Behandlingstillstånd
Lyhytaikainen yhtiövelka,Kortfristig bolagsskuld
Asumisajan alkaminen,Boendetidens början
Poikkeaminen,Dispens
EU:n asetuksen täytäntöön paneminen,Verkställighet av EU-förordning
Kodin ulkopuolinen harrastustoiminta,Fritidsintressen utanför hemmet
Arvostaminen,Värdering
Natura-arviointi,Naturabedömning
Toimeentulo,Försörjning
Verollisen toiminnan edistäminen,Befrämjande av skattepliktig verksamhet
Käsittelymaksu,Behandlingsavgift
Pohjaveden ottaminen,Tagande av grundvatten
Yksikerroksinen,Enplanshus
Jälki­huollon sisältö,Eftervårdens innehåll
Vammaispalvelu,Service och stöd på grund av handikapp
Tahdosta riippumaton hoito,Vård oberoende av patientens vilja
Sijoittaminen,Placering
Osittaisjakautuminen,Partiell delning (fission)
Kauppaantuloilmoitus,Anmälan om inledning av saluföring
Pääasiallisesti hankintayksikön maksama korvaus,Huvudsakligen av upphandlingsenheten utbetald ersättning
Somalian kansalainen,Somalisk medborgare
Veron laskentatapa,Kalkylering av skatt
Kasvuolosuhteet vanhempien ja oheishuoltajien luona,Uppväxtförhållandena hos föräldrarna och vårdnadshavarna vid sidan av
Yhteydenpidon rajoittaminen,Begränsning av kontakterna
Lapsen huolenpidosta vastanneiden henkilöiden velvollisuus selvittää olosuhteet,Skyldighet för personer som ansvarar för omsorgen om ett barn att klarlägga förhållanden
Potilaan vapaa liikkuvuus,Fri rörlighet för patienter
Jätteen hyödyntäminen,Återvinning av avfall
Jäsenvaltion korvausvastuu,Medlemsstats ersättningsansvar
Matkakulut,Resekostnader
Tulli,Tullen
Lastensuojelu,Barnskydd
Tekopohjavesi,Konstgjort grundvatten
Oppilasvalintaperusteet,Elevintagningsgrunder
Vientipalautus,Återbäring vid utförsel
Saamen kieli,Samiska
Valtuuston kokous,Fullmäktigesammanträde
Lastensuojelun jälkihuolto,Barnskyddets eftervård
Myymälä,Butik
Varastointi,Lagring
Lunastus,Inlösning
Valvonta,Granskning
Asiakirjajulkisuus,Handlings offentlighet
Ajoneuvon käyttöikää koskeva rajaus,Begränsning som gäller fordons livslängd
Maantieteellisen merkinnän suoja,Skydd av geografisk beteckning
Itsenäistyminen,Flyttning i syfte att bli självständig
Maa-aineslupa,Tillstånd för marktäkt
Seuraamusharkinta,Påföljdsprövning
Masternauhan käyttöoikeuden luovutus,Rätt att överlåta nyttjanderätten till en masterversion
Palkkakustannus,Lönekostnad
Perusparannus,Grundlig förbättring
Suojelusta poikkeaminen,Tillstånd att avvika från förbud
Palkkioiden kertyminen eri yhtiöille,Arvoden till olika bolag
Puuston hakkuu,Beståndsavverkning
Jälkiverotus,Efterbeskattning
Hankinnan ehtojen olennainen muutos,Väsentlig ändring av upphandlingsvillkoren
Yhteiskunnallinen ryhmä,Samhällsgrupp
Koltta-alue,Skoltområde
Maahan pääsyn epääminen,Nekad inresa
Ilmoitusvirhe,Fel i annonsering
Väestötietojärjestelmään ilmoitettu kotikunnan lyhytaikainen muutos,Till befolkningsdatasystemet anmäld kortvarig förändring av hemort
Tutkimatta jättäminen,Avvisning av besvär
PKK,PKK
Sello,Cello
Tarjouksen tarjouspyynnön mukaisuus,Anbud som motsvarar anbudsförfrågan
Yritysjärjestely,Företagsomstrukturering
Valituksen toimittamisen määräaika,Tid för ingivande av besvär
Ympäristönsuojeluohje,Miljöskyddsanvisningar
Valitus,Besvär
Hotelliaamiainen,Hotellfrukost
Muu pääomansijoitus,Annan kapitalinvestering
 Kunnan asukas,Kommuninvånare
Metsästyslupa,Jakttillstånd
Elinkeinon harjoittaminen,Näringsverksamhet
Uusi voimalaitosyksikkö,Ny kraftverksenhet
Vakituisten asuinrakennusten veroprosentti,Skatteprocentsatsen för byggnader som används för stadigvarande boende
Sosiaali- ja terveysalan lupa- ja valvontavirasto,Tillstånds- och tillsynsverket för social- och hälsovården
Yleisen järjestyksen ja turvallisuuden vaarantaminen,Äventyrande av allmän ordning och säkerhet
Työjärjestys,Arbetsordning
Potilasvahinkolautakunta,Patientskadenämnden
Poissulkemisperuste,Uteslutningsgrund
Teollisuuskiinteistö,Industrifastighet
Asian siirtäminen,Överföring av ärende
Alueellisen maaseutuohjelman mukaiset yritystuet,Företagsstöd enligt regionalt landsbygdsprogram
Perustuslain vastaisuus,Grundlagsstridighet
Huollettavana oleva sukulainen suoraan ylenevässä polvessa,Underhållsberättigad släkting i rakt uppstigande led
Ennakonpidätys ja työnantajan sosiaaliturvamaksu,Förskottsinnehållning och arbetsgivares socialskyddsavgift
Esittelijä,Föredragande
Yleissuunnitelma,Utredningsplan
Asuinpaikka,Hemvist
Lupa yksityisen terveydenhuollon palvelujen antamiseen,Tillstånd att tillhandahålla privata hälso- och sjukvårdstjänster
Tuntematon perheen olinpaikka,Familj med okänd vistelseort
Maasta poistamisen estyminen,Hinder för avlägsnande av en person ur landet
Valvira,Valvira
Luvan hakija,Tillståndssökande
Kiinteistönhuoltopalvelujen kilpailuttaminen,Konkurrensutsättning av tjänster för fastighetsunderhåll
Aineopinnot,Ämnesstudier
Veron peruste,Beskattningsgrund
Järjestäytynyt viranhaltija,Fackligt ansluten tjänsteinnehavare
Nimikirjalain soveltaminen,Tillämpning av matrikellagen
Veronlisäys,Skattetillägg
Ohjesääntö,Reglemente
Esityksen välittäminen,Förmedling av uppträdande
Virkasuhteen muuttaminen osa-aikaiseksi,Ombildning av tjänsteförhållande till tjänsteförhållande på deltid
Tarkkailulähete,Observationsremiss
Kehitysvammaisuus,Utvecklingsstörning
Toiminta-alueen hyväksyminen,Godkännande av verksamhetsområde
Lahjaverotus,Gåvoskatt
Menettely hankintapäätöstä tehtäessä ja sen jälkeen,Förfarandet i samband med upphandlingsbeslutet och efter det
Irrottautuminen kilpailunrikkomuksesta,Lösgörelse från konkurrensöverträdelse
Toiminta-alueen muuttaminen,Ändring av verksamhetsområdet
Edustuslahja,Representationsgåva
Asuinrakennus,Bostadsbyggnad
Lääkärihelikopteri,Läkarhelikopter
Sponsorointi,Sponsring
Jälkipantti yrityskiinnityksestä,Efterpant i företagsinteckning
Tulospalkkiojärjestelmä,Resultatpremiesystem
Sisarukset,Syskon
Asianosaisen oma menettely,Partens eget förfarande
De minimis,De minimis
Lahjaveron maksuunpano,Debitering av gåvoskatt
Varastointivelvoitteen alittaminen,Underskridande av lagringsskyldighet
Yhtiömiesosuuden osan luovutus,Bolagsmans överlåtelse av en del av sin bolagsandel
Käsittelymaksu,Handläggningsavgift
Veronkorotuksen määrääminen,Påförande av skatteförhöjning
Voimassa oleva tuki,Befintligt stöd
Kunnan toimiala,Kommunens kompetens
Liiketoimen uudelleenluonnehdinta,Omdefiniering av affärstransaktion
Väriselitys,Färgbeskrivning
Hallin vuokraaminen,Uthyrning av hall
Kansainvälisen rekisteröinnin voimaantulo Suomessa,Internationellt varumärkes ikraftträdande i Finland
Yleispäätös omavastuun määräytymisestä,Allmänt beslut om självriskandelens grunder
 Päivittäinen matka asunnolta varsinaiselle työpaikalle,Daglig resa från bostaden till den egentliga arbetsplatsen
Uskonnolliseen yhdyskuntaan kuulumaton lapsi,Barn som inte tillhör något religionssamfund
Ryhmäsairauskuluvakuutus,Gruppsjukkostnadsförsäkring
Kiinteä palkkio,Fast arvode
Palomiesten lakko,Brandmannastrejk
Lapsen huoltoa ja asumista koskevan määräyksen ja huostaanoton suhde,Förhållandet mellan förordnande om barnets vårdnad och boende och omhändertagande
Hakemusten yhdessä käsitteleminen,Gemensam behandling av ansökningar
Kiinteistön kauppa,Fastighetsaffär
Perusmeno,Grundutgift
Seksuaalinen väkivalta,Sexuellt våld
Humanitaarisen suojelun poistaminen ulkomaalaislaista,Avlägsnande av humanitärt skydd ur utlänningslagen
Kuntalaissa tarkoitettu oikaisuvaatimus,Rättelseyrkande enligt kommunallagen
Tarjoajan sulkeminen tarjouskilpailun ulkopuolelle,Utesluta en anbudsgivare ur anbudsförfarandet
Kunnan ympäristönsuojeluviranomainen,Kommunal miljöskyddsmyndighet
Lupa,Tillstånd
Päätös olla ryhtymättä toimenpiteisiin,Beslut om att avstå från åtgärder
Jakeluverkon haltija,Distributionsnätsinnehavare
Kirjoilla oleminen terveydenhuollon toimintayksikössä,Vara registrerad på verksamhetsenhet för hälsovården
Mustat sekunnit,Svarta sekunder
Laki kestävän metsätalouden rahoituksesta,Lagen om finansiering av hållbart skogsbruk
Vesistö,Vattendrag
Ne bis in idem,Nebis in idem
Korvauksen määrä,Ersättningsbelopp
Kumppanuussopimus,Partnerskapsavtal
Julkinen tai yksityinen etu,Allmänt eller enskilt intresse
Asiakkuus työvoiman palvelukeskuksessa,Kundförhållande hos servicecenter för arbetskraften
Luonnonsuojelulain mukainen poikkeamislupa,Tillstånd till undantag eller avvikelse enligt naturvårdslagen
Maasuodattamo,Markbädd
Maastoliikenne,Terrängtrafik
Rakennerahasto,Strukturfonden
Rakentamiseen liittyvä valvonta,Övervakning som hänför sig till byggande
Sopimus yhteisestä jätelautakunnasta,Avtal om gemensam avfallsnämnd
Neuvottelu,Samråd
Läsnäolo,Närvaro
Eritasoliittymä,Planskild anslutning
Tulon allokoiminen,Allokering av inkomst
Arvonlisäveron lukeminen palkan määrään,Inräkning av mervärdesskatt i lönebelopp
Viro,Estland
Vähennettävä vero,Avdragsgill skatt
Päätös olla keskeyttämättä hankintaa,Beslut att inte avbryta upphandlingen
Verotettavan jätteen määrä,Mängden avfall som ska beskattas
Käsittelyratkaisu lapsen kuulemisesta ilman tämän avustajaa,Processuellt avgörande att höra barn utan dess biträde
Elinympäristön viihtyisyys,Trivsam livsmiljö
Lupa-asia,Tillståndsärende
Viranomaisen sisäisen työskentelyn asiakirja,Handling för internt myndighetsarbete
Pysäköintipaikan luovuttaminen,Upplåtelse av parkeringsplats
Aineellinen määräaika,Materiell fatalietid
Ulkomainen yliopisto,Utländskt universitet
Kevytyrittäjyys,Lättföretagare
Viranomaisen passiivisuus,Myndighets passivitet
Ruotsalaisesta pörssiyhtiöstä saadut osingot,Dividender från ett svenskt börsbolag
Ympäristövaikutukset,Miljöpåverkan
Viranomaisen ulkoinen viestintä,Myndighetens externa kommunikation
Kunnallinen liikelaitos,Kommunalt affärsverk
Alihintaisuus,Underprissättning
Mitoitus,Dimensionering
Perusmaidot,Basmjölk
Kunnassa vahvistetut tuen myöntämiskriteerit,Av kommunen fastställda kriterier för beviljande av stöd
Menon vähennyskelpoisuus,Avdragsgill utgift
Yksityinen kauppakorkeakoulu,Privat handelshögskola
Suden rauhoituksesta poikkeaminen,Dispens från fredning av varg
Yhtiömuodon muutos,Ändring av bolagsformen
Terveyshaitta,Sanitär olägenhet
Toimivaltainen hallinto-oikeus,Behörig förvaltningsdomstol
Lainvoimaisuus,Laga kraft
Perheenyhdistäminen,Återförening av familj
Käännös,Översättning
Kiinteistöhallintapalvelun oma käyttö,Eget bruk av tjänst som avser fastighetsinnehav
Kaksinkertaisen verotuksen poistaminen,Undanröjande av dubbelbeskattning
Tarjousvertailu,Jämförelse av anbud
Teologian kandidaatin tutkinto,Teologie kandidatexamen
Myynti- ja luovutuskielto,Förbud mot försäljning och annan överlåtelse
Maasta poistamista koskeva kokonaisharkinta,Helhetsbedömning som gäller avlägsnande av person ur landet
Luopuminen,Avstående
Osingonsaajan osingon pääomatulon laskeminen,Beräkning av dividendtagares kapitalinkomst av dividender
Päätöksen lainvoimaisuus ja oikeusvoima,Besluts laga kraft och rättsverkan
Tahdosta riippumaton psykiatrinen sairaalahoito,Psykiatrisk sjukhusvård oberoende av patientens vilja
Palkkaturva,Lönegaranti
Rakennuksen kunnossapitovelvollisuus,Skyldighet att underhålla byggnader
Vähämerkityksinen tuki,Stöd av mindre betydelse
Fimean erityislupa,Fimeas specialtillstånd
Viranomaisen lausunto,Myndighets utlåtande
Vapautus,Befrielse
Yleiskaavan lainvoimaisuus,Generalplans laga kraft
Muutoksenhaku kunnallisen viranhaltijan päätökseen,Sökande av ändring i en kommunal tjänsteinnehavares beslut
Veron laskentaperuste,Grund för beräkning av överlåtelseskatt
Päättynyt valvontatoimi,Slutförd övervakningsåtgärd
Oikeus veron palautukseen,Rätt till skatteåterbäring
Luvan peruuttaminen pysyvästi,Permanent återkallande av tillstånd
Oikeudenkäynnin viivästyminen,Dröjsmål vid rättegång
Scrip dividend,Scrip dividend
EY:n lajisuojelua koskeva erityissäännös,Särskild EG-bestämmelse om artskydd
Lahjoituskielto,Donationsförbud
Päästöjen rajoittaminen,Begränsning av utsläpp
Hyvän kirjanpitotavan vastaisuus,Konflikt med god bokföringssed
Sivuliike,Filial
Tavoitearvot,Målvärden
Lehden valmistustyön myynti,Försäljning av tidningsproduktionstjänster
Kauppahinta,Köpeskilling
Lääkkeen valmisteyhteenvedon mukainen käyttöaihe,Indikation enligt läkemedlets produktresumé
Lähetysten keräilypisteet,Insamlingsställen för försändelser
Luottamuksensuojaperiaate,Principen om skydd för berättigade förväntningar
Sijaishuoltajamääräys,Förordnande som vårdnadshavare i stället för förälder
Vähäinen poikkeaminen,Ringa avvikelse
Ruotsi,Sverige
Vuokralainen,Legotagare
Ilmaääneneristävyys,Luftljudisolering
Optio,Option
Toimiluvan muuttaminen,Förändring av koncession
Vaihto-omaisuus,Omsättningstillgångar
Kansainvälisten tilinpäätösstandardien noudattamisen valvonta,Tillsyn över att internationella bokslutsstandarder iakttas
Huoltovarmuuskeskus,Försörjningsberedskapscentralen
Ongelmajäte,Problemavfall
Matkakustannusten korvaus,Ersättning för resekostnader
Edellytyssuhde,Förhållande som förutsätter föregående avgörande
Maasta poistaminen,Avlägsnande ur landet
Diffuusio,Fission
Selvilläolovelvollisuus,Skyldighet att känna till avfallet
Asumispalvelun järjestämiseen sovellettavaa lakia koskeva valitus,Besvär som gäller på ordande av serviceboende tillämplig lag
Kunta luovutuksensaajana,Kommun som mottagare
Vahvistettu tilinpäätös,Fastställt bokslut
Vanhemman kaksiosainen sukunimi,Förälders tudelade släktnamn
Tontin lunastaminen,Inlsöen av tomt
Keskustatoimintojen alue,Område för centrumfunktioner
Kunnan asukkaiden etusijalle asettaminen,Prioritering av kommunens egna invånare
BAT-periaate,BAT-principen
Saamelaisuus,Same
Rahoitustoiminta,Finansiell verksamhet
Virheellinen veroilmoitus,Fel i skattedeklaration
Asuinkiinteistö,Bostadsfastighet
Tuulivoimarakentaminen,Utbyggnad av vindkraftverk
Listaamaton warrantti,Icke-listad warrant
Hakijan tiedot työsuhteesta ja työsopimuksen ehdoista,Sökandens kännedom om arbetsförhållandet och villkoren i arbetsavtalet
Ylioppilaskirjoitukset,Studentskrivning
Kalastusrasitus,Belastning som fiske innebär
Matkailijamyynti,Försäljning till resande
Vakuuden asettamisvelvoite,Skyldighet att ställa säkerhet
Mahdollisuus käyttää joukkoliikennevälineitä,Möjlighet att anlita kollektivtrafikmedel
EUIPO:n päätös EU-tavaramerkkien osittaisesta kumoamisesta,EUIPO:s beslut om partiellt upphävande av EU-varumärken
Luonnonhaittakorvauksen kansallinen lisäosa,Nationell tilläggsdel till kompensationsbidrag
Kunnan maaseutuelinkeinoviranomainen,Kommunens landsbygdsnäringsmyndighet
CE-merkintä,CE-märkning
Sopimuksen ja päätösten erillisyys,Avtalets och beslutens åtskildhet
Jatkovalitus,Fullföljd av besvär
Ulkoilureittimerkinnälle asetetut vaatimukset,Krav på markering av friluftsleder
Reittisuunnitelma,Plan för friluftsled
Vastaanottava kunta,Mottagande kommun
Jätelajit,Avfallsslag
Asetuksen hankeluettelo,Verksamheter som nämns i förordning
Euroopan komission henkilöstösäännöt,Europeiska kommissionens tjänsteföreskrifter
Liikenneturvallisuus,Trafiksäkerhet
ELY-keskus,NTM-centralen
15 000 tunnin sääntö,15 000 -timmarsregeln
Eläinsuojelurikkomus,Djurskyddsförseelse
Tavallinen kiinteistöosakeyhtiö,Fastighetsaktiebolag
Euroopan unionin yhteinen kalastuspolitiikka,Europeiska unionens gemensamma fiskeripolitik
Osa-aikaisuus,Deltid
Arviointimenettelyn soveltaminen yksittäistapauksessa,Tillämpning av bedömningsförfarandet i enskilda fall
Luvan saamisen edellytykset,Villkor för beviljande av tillstånd
Ampumisen kieltävä ehto,Förbud att skjuta med vapnet
Tullitoimenpide,Tullåtgärd
Jalkakäytävä,Gångbana
Kiinteistön ulottuvuus,En fastighets utsträckning
Kunnan lunastusoikeus,Kommuns inlösningsrätt
Suunnitelmaan kirjatun henkilökohtaisen avun lakkauttaminen,Anteckning i planen om att rätten till personlig assistens upphör
Riittämätön selvitys,Otillräcklig utredning
Tulonhankkimisvähennys,Avdrag för inkomstens förvärvande
Varausmaksu,Reservationsavgift
Tavaramerkinomainen käyttö,Varumärkesmässig användning
Maapohja,Mark
Vesitalousasia,Vattenhushållningsärende
Osuus osakeyhtiön omistamiseen oikeuttavista osakkeista,Andel av aktier som berättigar till innehav av bolag
Yleisötilaisuuden kieltäminen,Förbud mot offentlig tillställning
Tuotantovaiheen kesto,Produktionsskedets längd
Ammattikorkeakoulu,Yrkeshögskola
Kuuleminen,Hörande
Liiketoimintasiirtoon kohdistuva veronhuojennus,Skattelättnad som gäller verksamhetsöverlåtelse
Hankintaoikaisu,Upphandlingsrättelse
Kunnan jäsen,Kommunmedlem
Maaseudun kehittämisen tukeminen,Stöd för utvecklingen av landsbygden
Henkivakuutus,Livförsäkring
Arviointisalaisuus,Utvärderingshemlighet
Geotuubit,Geotuber
Tuulivoimarakentamisen sopeutuminen maisemaan,Vindkraftsbyggets lämplighet för landskapet
Viivästyssakko,Dröjsmålsersättning
Osayleiskaavaehdotus,Förslag till delgeneralplan
Viikonloppumatka,Veckohelgresor
Riippumaton lausunto,Utlåtande av oberoende sakkunnig
Asian vireillepano kunnassa,Anhängiggörandet av ärende hos kommun
Viranomaisen harkintavalta,Myndighets prövningsrätt
Velkakirjojen arvostus,Värdering av skuldebrev
Väkiviina,Sprit
Oikeus julkisiin tietoihin,Rätt att ta del av offentliga uppgifter
Työskentely ja oleskelu Suomessa ilman lupaa,Arbete och vistelse i Finland utan tillstånd
Yhdisteleminen,Sammanställning
Lähdeverotus,Källbeskattning
Mielenterveyskuntoutujien asumispalvelut,Boendetjänster för personer i behov av psykiatrisk rehabilitering
Jätteen määrä,Avfallsmängd
Led-mainoslaite,Led-reklamtavla
Tartuntatautilakiin viitaten tehty päätös,Beslut baserat på av lagen om smittsamma sjukdomar
Vaino,Förföljelse
Ajokorttiluvan terveysvaatimukset,Medicinska krav för körkort
Laajalti tunnettu merkki,Väl känt kännetecken
Julkisuusperiaate,Offentlighetsprincip
Oikeusvaikutusten epäselvyys,Oklara rättsverkningar
Palautuspäätös,Beslut med vilket ärendet återförvisas
Hankintamenettelyyn osallistumaton tarjoaja,Anbudsgivare som inte deltagit i upphandlingsförfarandet
Vuokra-alueen luovutus,Överlåtande av arrendeområde
Verovapaan tulon ylittävä osa menoista,Den del av en utgift som överstiger beloppet av en skattefri inkomst
Savukaasupäästöt,Rökgasutsläpp
Ehdollisena hyväksytty yrityskauppa,Villkorligt godkänt företagsförvärv
Syrjimättömyys,Icke-diskriminering
Yhteisön oikeuden soveltaminen ja tulkinta,Tillämpning och tolkning av gemenskapsrätten
Avustajan palkkiovaatimuksen hylkääminen,Förkastande av biträdets ersättningsyrkande
Lähisuojavyöhyke,Närskyddszon
Rahahuolto,Penninghantering
Valtion ympäristölupaviranomainen,Statlig miljötillståndsmyndighet
Unionin oikeus,Unionsrätten
Pienpanimoalennus,Små bryggerier
Uskonnonopetukseen osallistuminen,Deltagande i religionsundervisning
Osaomistaja,Äganderätt till kvotdel
Poikkeusluvan edellytykset,Förutsättningar för att bevilja dispens
Erityisalojen hankinta,Upphandling i specialbransch
Ristiriitaiset tiedot,Motstridiga uppgifter
Valitusperuste,Besvärsgrunder
Kylärakenne,Bystruktur
Voitto-osuudet,Vinstandelar
Liikuntapalvelut,Idrottstjänster
Menettelyvirheen korjaaminen oikeudenkäynnin aikana,Rättande av fel i förfarandet under rättegången
Tilapäinen määräys,Temporär bestämmelse
Tilapäinen ja hyväksyttävä syy,Tillfälligt och godtagbart skäl
Tulonhankkimismenot,Utgifter för inkomstens förvärvande
Luonnonsuojelujärjestö,Naturskyddsorganisation
Muu peruste poikkeamisen hakemiseen,Annan grund för ansökan om undantag
Osakekauppa,Aktieaffär
Sosiaali- ja perusterveydenhuollon palvelujen ulkoistaminen,Utkontraktering av socialvårdstjänster samt tjänster inom primär hälso- och sjukvård
Elintarviketurvallisuusvirasto Evira (nykyisin Ruokavirasto),Livsmedelssäkerhetsverket Evira (numera Livsmedelsverket)
Käyttöomaisuusosake,Aktie som hänförs till anläggningstillgångarna
Adressien myynti,Försäljning av så kallade adresser
Yrityskaupan ehtojen muuttaminen,Ändring av villkoren för ett företagsförvärv
Rahoituspalvelut,Finansiella tjänster
Huomautus lainvastaisesta menettelystä,Anmärkning om lagstridigt förfarande
Suullisen käsittelyn merkitys,Betydelsen av muntlig förhandling
Uusi työnantaja,Ny arbetsgivare
Tehtävien siirtäminen jätehuoltoyhtiölle,Överföring av uppgifter till avfallshanteringsbolag
REACH-asetuksen liite XVII,Bilaga XVIII till REACH-förordningen
Asemakaavamääräys,Bestämmelse i detaljplan
Henkirikos,Brott mot liv
SVOP-rahasto,Fond för inbetalt fritt eget kapital (s.k. SVOP-fond)
Valtakunnallisesti merkittävä kulttuurihistoriallinen ympäristö,Kulturhistorisk miljö av nationell betydelse
Tutustuminen internet-sivustolla,Bli bekant på en webbplats
Oma käsitys,Egen uppfattning
Hallituksen jäsenyys,Medlemskap i styrelse
Nautarekisteri,Nötkreatursregister
Yksityisyyden suojan loukkaaminen,Kränkning av skyddet för privatliv
Valtakunnallisesti arvokas rakennettu kulttuuriympäristö,Byggd kulturmiljö av riksintresse
Sitoutunut pääoma,Bundet kapital
Patentti- ja rekisterihallituksen valitus,Patent- och registerstyrelsens besvär
Tuki toimintakustannuksiin ja toiminnan edistämiseen,Stöd för löpande kostnader för förvaltningen och främjande av verksamheten
Terveyden- ja sairaanhoitopalvelut,Hälso- och sjukvårdstjänster
Oppilasvalinta,Elevintagning
Maksatuspäätös,Utbetalningsbeslut
Pohjasedimentti,Bottensediment
Hallinto-oikeudelle palautunut lähettäjän saantitodistus,Förvaltningsdomstolens returexemplar
Psykiatrisen sairaalahoidon jatkamista koskeva päätös,Beslut om fortsatt psykiatrisk sjukhusvård
Valtion liikelaitos,Statligt affärsverk
Kulumaton käyttöomaisuus,Icke förslitningsbara anläggningstillgångar
Muuttuvat kustannukset alittava hinnoittelu,Prissättning som underskrider de rörliga kostnaderna
Rahankeräyslupa,Tillstånd till penninginsamling
Natura-arviointi,Natura-bedömning
Julkinen hallintotehtävä,Offentlig förvaltningsuppgift
Lupaharkinnan perusteet,Grunderna för tillståndsprövning
Rakennuksen käsite,Begreppet byggnad
Tavanomaiset toimituskulut,Sedvanliga leveranskostnader
Vähimmäispinta-alavaatimus,Kravet på minimiareal
Henkilöstörahastoerä,Personalfondsavsättning
Vähemmistöosuus,Minoritetsandel
Kiinteistökohtaisuus,Fastighet som grund för anslutningsskyldighet
Tuen myöntämisen edellytykset,Förutsättningarna för beviljande av stöd
Kemikaaliviraston henkilöstö,Kemikaliemyndighetens personal
Unionin tuomioistuimen ratkaisu,Unionens domstols avgörande
Yhtiöoikeudelliset hallintotoimet,Bolagsrättsliga förvaltningsåtgärder
Rajoitettu hallintaoikeus,Begränsad besittningsrätt
Lupa esteaidan rakentamiseen,Tillstånd att bygga ett skyddsgärde
Perusosan alentaminen,Sänkning av grunddel
Alkuperäinen velallinen,Ursprunglig gäldenär
Autokilpailu,Biltävling
Välitön verotus,Indirekt beskattning
Kuulematta jättäminen,Utelämna hörandet
Todistelu,Bevisning
Naapurin huomioon ottaminen,Hänsyn till grannar
Ylitysmaksu,Avgift för överskriden utsläppsrätt
Määräajan pidentäminen,Förlängning av utsatt tid
Luotettava selvitys henkilöllisyydestä,Tillförlitlig utredning om identitet
Osakeyhtiön omista osakkeistaan luopujaosakkaalle maksama lunastushinta,Belopp som ett aktiebolag betalar som lösen för sina egna aktier till den som utträder ur bolaget
Yleiskaavan esittämistapa,Utformning av generalplan
Suunnittelutarve ranta-alueella,Behov av planering på strandområde
Holding-yhtiö,Holdingbolag
Ennakkoperintä,Förskottsuppbörd
Vähennysten oikaiseminen verovelvollisen eduksi,Rättelse av avdrag till den skattskyldiges förmån
Postitoiminta,Postverksamhet
Ojan luvaton siirtäminen,Olovlig flyttning av dike
Luvasta poikkeaminen,Undantag från tillstånd
Asumisterveysohje,Anvisningar om boendehälsa
Lääkeyritys,Läkemedelsföretag
Kirjanpidollinen vasta-arvo,Bokföringsmässigt motvärde
Ajoneuvorikkomus,Fordonsföreseelse
Asianosainen hallintomenettelyssä,Part i förvaltningsförfarande
Menettely hallinto-oikeudessa,Förfarande som iakttagits i en förvaltningsdomstol
Komission suositus enimmäishinnan asettamisesta,Kommissionens rekommendation om ett högsta pris
Väestötietojärjestelmän merkintä,Anteckning i befolkningsdatasystemet
Tilaajatietojen tukkumarkkinat,Partihandelsmarknad för abonnentuppgifter
Ilmoittamatta jätetty tulo,Odeklarerad inkomst
Tielinjaus,Vägmarkering
Vesiliikenne,Sjötrafik
Rojalti,Royalty
Kuljetusavustus,Understöd för transport
Yhtiön hallitustyöskentelyä koskevien tietojen julkisuus,Offentlighet gällande uppgifter om ett bolags styrelsearbete
Valtionhallintoon kuuluva yksikkö,Enhet som hör till statsförvaltningen
Tutkintavanki,Häktad
 Työn jaksotus,Arbetsperiod
Lääkärinlausunnon antamisesta kulunut aika,Den tid som gått sedan läkarutlåtandet gavs
Äänitallenne,Ljudupptagning
Täsmällinen ja ajantasainen maatietous,Tillförlitlig och aktuell landinformation
Törkeä ei-poliittinen rikos,Grovt icke-politiskt brott
Rajoitusehdot,Begränsande villkor
Verokonsultointia harjoittava yhtiö,Bolag som bedriver skattekonsultering
Lunastuksen kohteen vahvistaminen,Fastställande av föremålet för inlösning
Viihtyisyys,Trivsel
Siltapenger,Brobank
Poikkeuslupa,Dispens Undantagslov
Uusi asuinrakennus,Ny bostadsbyggnad
Taloudelliset vaikeudet kansalaisuusvaltion passin hankkimiseksi,Ekonomiska svårigheter att skaffa ett pass i det land där sökanden är medborgare
Tuen maksamisen edellytykset,Villkor för betalning av stöd
Vaativuustaso,Kravnivå
Ammattimainen ja laitosmainen käsittely,Yrkesmässig behandling av avfall eller behandling av avfall i en anläggning
Tarjousten arviointiperusteet,Utvärderingsgrunder för anbud
Kasvintuotannolle aiheutuneet vahingot,Skada som orsakats växtproduktionen
